ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab04610		2						P1virus	
ab04611		2						P1virus	
ab04612		2						P1virus	P1virus(incomplete)
ab04613		2							
ab04614		2							
ab04615		2							
ab04616		2						P1virus	P1virus(incomplete)
ab04617		2						P1virus	P1virus(incomplete)
ab04618		2						P1virus	P1virus(incomplete)
ab04619		2							
ab04620		2							
ab04621		2						P1virus	
ab04622		2						P1virus	
ab04623		2						P1virus	P1virus(incomplete)
ab04624		2						P1virus	
ab04625		2						P1virus	
ab04626		2						P1virus	P1virus(incomplete)
ab04627		2							
ab04628		2							
ab04629		2							
ab04630		2						P1virus	P1virus(incomplete)
ab04631		2						P1virus	P1virus(incomplete)
ab04632		2						P1virus	
ab04633		2						P1virus	
ab04634		2						P1virus	P1virus(incomplete)
ab04635		2						P1virus	
ab04636		2						P1virus	
ab04637		2						P1virus	P1virus(incomplete)
ab04638		2						P1virus	P1virus(incomplete)
ab04639		2						P1virus	P1virus(incomplete)
ab04640		2							
ab04641		2							
ab04642		2							
ab04643		2						P1virus	P1virus(incomplete)
ab04644		2						P1virus	P1virus(incomplete)
ab04645		2						P1virus	
ab04646		2						P1virus	
ab04647		2						P1virus	P1virus(incomplete)
ab04648		2						P1virus	
ab04649		2						P1virus	
ab04650		2						P1virus	P1virus(incomplete)
ab04651		2						P1virus	
ab04652		2						P1virus	
ab04653		2						P1virus	P1virus(incomplete)
ab04654		2						P1virus	
ab04655		2						P1virus	
ab04656		2						P1virus	P1virus(incomplete)
ab04657		2						P1virus	
ab04658		2						P1virus	
ab04659		2						P1virus	P1virus(incomplete)
ab04660		2						P1virus	P1virus(incomplete)
ab04661		2						P1virus	P1virus(incomplete)
ab04662		2						P1virus	P1virus(incomplete)
ab04663		2						P1virus	P1virus(incomplete)
ab04664		2						P1virus	P1virus(incomplete)
ab04665		2						P1virus	P1virus(incomplete)
ab04666		2						P1virus	P1virus(incomplete)
ab04667		2						P1virus	P1virus(incomplete)
ab04668		2						P1virus	P1virus(incomplete)
ab04669		2						P1virus	P1virus(incomplete)
ab04670		2						P1virus	P1virus(incomplete)
ab04671		2						P1virus	P1virus(incomplete)
ab04672		250						P1virus	P1virus(incomplete)
ab04673		250							
ab04674		250							
ab04675		2						P1virus	P1virus(incomplete)
ab04676		2						P1virus	P1virus(incomplete)
ab04677		2						P1virus	P1virus(incomplete)
ab04678		2							
ab04679		2							
ab04680		2							
ab04681		2						P1virus	P1virus(incomplete)
ab04682		2						P1virus	P1virus(incomplete)
ab04683		2						P1virus	P1virus(incomplete)
ab04684		2							
ab04685		2							
ab04686		2							
ab04687		2						P1virus	
ab04688		2						P1virus	
ab04689		2						P1virus	P1virus(incomplete)
ab04690		2						P1virus	P1virus(incomplete)
ab04691		2						P1virus	
ab04692		2						P1virus	
ab04693		2						P1virus	P1virus(incomplete)
ab04694		2						P1virus	P1virus(incomplete)
ab04695		2						P1virus	P1virus(incomplete)
ab04696		2						P1virus	P1virus(incomplete)
ab04697		2						P1virus	P1virus(incomplete)
ab04698		2						P1virus	P1virus(incomplete)
ab04699		2						P1virus	P1virus(incomplete)
ab04700		2							
ab04701		2							
ab04702		2							
ab04703		2						P1virus	
ab04704		2						P1virus	
ab04705		2						P1virus	P1virus(incomplete)
ab04706		2						P1virus	P1virus(incomplete)
ab04707		2						P1virus	P1virus(incomplete)
ab04708		2						P1virus	P1virus(incomplete)
ab04709		2						P1virus	P1virus(incomplete)
ab04710		2						P1virus	P1virus(incomplete)
ab04711		2						P1virus	P1virus(incomplete)
ab04712		2						P1virus	P1virus(incomplete)
ab04713		2						P1virus	P1virus(incomplete)
ab04714		2						P1virus	P1virus(incomplete)
ab04715		2							
ab04716		2							
ab04717		2							
ab04718		2						P1virus	P1virus(incomplete)
ab04719		2						P1virus	P1virus(incomplete)
ab04720		2						P1virus	P1virus(incomplete)
ab04721		2							
ab04722		2							
ab04723		2							
ab04724		2							
ab04725		2							
ab04726		2							
ab04727		2						P1virus	P1virus(incomplete)
ab04728		2						P1virus	P1virus(incomplete)
ab04729		2						P1virus	P1virus(incomplete)
ab04730		2						P1virus	P1virus(incomplete)
ab04731		2						P1virus	P1virus(incomplete)
ab04732		406							
ab04733		406							
ab04734		406							
ab04735		406							
ab04736		406							
ab04737		406							
ab04738		2						P1virus	
ab04739		2						P1virus	
ab04740		2						P1virus	P1virus(incomplete)
ab04741		2						P1virus	
ab04742		2						P1virus	
ab04743		2						P1virus	P1virus(incomplete)
ab04744		2						P1virus	P1virus(incomplete)
ab04745		2						P1virus	P1virus(incomplete)
ab04746		2						P1virus	P1virus(incomplete)
ab04747		2						P1virus	P1virus(incomplete)
ab04748		2						P1virus	P1virus(incomplete)
ab04749		2						P1virus	P1virus(incomplete)
ab04750		2						P1virus	P1virus(incomplete)
ab04751		2						P1virus	P1virus(incomplete)
ab04752		2						P1virus	P1virus(incomplete)
ab04753		2						P1virus	P1virus(incomplete)
ab04754		2						P1virus	P1virus(incomplete)
ab04755		2						P1virus	P1virus(incomplete)
ab04756		2						P1virus	P1virus(incomplete)
ab04757		2						P1virus	P1virus(incomplete)
ab04758		2							
ab04759		2						P1virus	P1virus(incomplete)
ab04760		2						P1virus	P1virus(incomplete)
ab04761		2						P1virus	P1virus(incomplete)
ab04762		2						P1virus	P1virus(incomplete)
ab04763		2						P1virus	P1virus(incomplete)
ab04764		2						P1virus	P1virus(incomplete)
ab04765		2						P1virus	P1virus(incomplete)
ab04766		2						P1virus	P1virus(incomplete)
ab04767		2						P1virus	P1virus(incomplete)
ab04768		2						P1virus	P1virus(incomplete)
ab04769		2						P1virus	P1virus(incomplete)
ab04770		2						P1virus	P1virus(incomplete)
ab04771		2						P1virus	P1virus(incomplete)
ab04772		2						P1virus	P1virus(incomplete)
ab04773		2						P1virus	P1virus(incomplete)
ab04774		2						P1virus	P1virus(incomplete)
ab04775		2						P1virus	P1virus(incomplete)
ab04776		2						P1virus	P1virus(incomplete)
ab04777		2						P1virus	
ab04778		2						P1virus	
ab04779		2						P1virus	P1virus(incomplete)
ab04780		2						P1virus	
ab04781		2						P1virus	
ab04782		2						P1virus	P1virus(incomplete)
ab04783		2						P1virus	P1virus(incomplete)
ab04784		2						P1virus	P1virus(incomplete)
ab04785		2						P1virus	P1virus(incomplete)
ab04786		10						P1virus	P1virus(incomplete)
ab04787		10						P1virus	P1virus(incomplete)
ab04788		10						P1virus	P1virus(incomplete)
ab04789		2						P1virus	P1virus(incomplete)
ab04790		2						P1virus	P1virus(incomplete)
ab04791		2						P1virus	P1virus(incomplete)
ab04792		2						P1virus	P1virus(incomplete)
ab04793		2						P1virus	P1virus(incomplete)
ab04794		2						P1virus	
ab04795		2						P1virus	
ab04796		2						P1virus	P1virus(incomplete)
ab04797		1088							
ab04798		1088							
ab04799		1088							
ab04800		2						P1virus	
ab04801		2						P1virus	
ab04802		2						P1virus	P1virus(incomplete)
ab04803		2						P1virus	
ab04804		2						P1virus	
ab04805		2						P1virus	
ab04806		2						P1virus	
ab04807		2						P1virus	
ab04808		2						P1virus	P1virus(incomplete)
ab04809		464						P1virus	
ab04810		2							
ab04811		2							
ab04812		2							
ab04813		622							
ab04814	I-F	1					I-Fb		
ab04815		-							
ab04816	I-F	52					I-Fa		
ab04817	I-F	1					I-Fb		
ab04818		40							
ab04819		34							
ab04820	I-F	52					I-Fa		
ab04821		250							
ab04822	I-F	52					I-Fa		
ab04823		2						P1virus	
ab04824		2						P1virus	
ab04825		2						P1virus	
ab04826		2						P1virus	
ab04827		2						P1virus	
ab04828		2						P1virus	
ab04829		2						P1virus	
ab04830		2						P1virus	
ab04831		2						P1virus	
ab04832		2						P1virus	
ab04833		2							
ab04834		2							
ab04835		2						P1virus	
ab04836		2						P1virus	
ab04837		2						P1virus	
ab04838		2						P1virus	
ab04839		2						P1virus	
ab04840		2						P1virus	
ab04841		2						P1virus	
ab04842		2						P1virus	
ab04843		2						P1virus	
ab04844		2						P1virus	
ab04845		2						P1virus	
ab04846		2						P1virus	
ab04847		2						P1virus	
ab04848		2						P1virus	
ab04849		2						P1virus	
ab04850		2						P1virus	
ab04851		2						P1virus	P1virus(incomplete)
ab04852		2						P1virus	P1virus(incomplete)
ab04853		2						P1virus	
ab04854		2						P1virus	
ab04855		2						P1virus	P1virus(incomplete)
ab04856		2						P1virus	P1virus(incomplete)
ab04857		2						P1virus	P1virus(incomplete)
ab04858		2						P1virus	P1virus(incomplete)
ab04859		250							
ab04860		250							
ab04861		2						P1virus	P1virus(incomplete)
ab04862		2						P1virus	P1virus(incomplete)
ab04863		250							
ab04864		250							
ab04865		2						P1virus	
ab04866		2						P1virus	P1virus(incomplete)
ab04867		-						P1virus	
ab04868	I-F	1					I-Fb		
ab04869		-						P1virus	P1virus(incomplete)
ab04870		2							
ab04871		16							
ab04872		2						P1virus	P1virus(incomplete)
ab04873		2							
ab04874		2						P1virus	
ab04875		-						P1virus	
ab04876		2							
ab04877	I-F	1					I-Fb		
ab04878		-							
ab04879	I-F	654					I-Fb	P1virus	P1virus(incomplete)
ab04880		10						P1virus	
ab04881		10						P1virus	
ab04882		2						P1virus	P1virus(incomplete)
ab04883		15							
ab04884	I-F	402					I-Fb		
ab04885	I-F	25					I-Fb		
ab04886	I-F	25					I-Fb		
ab04887	I-F	25					I-Fb		
ab04888	I-F	25					I-Fb		
ab04889	I-F	25					I-Fb		
ab04890	I-F	25					I-Fb		
ab04891		2						P1virus	P1virus(incomplete)
ab04892		2						P1virus	P1virus(incomplete)
ab04893		2							
ab04894	I-F	1					I-Fb		
ab04895	I-F	94					I-Fb		
ab04896	I-F	1					I-Fb		
ab04897	I-F	81					I-Fb		
ab04898	I-F	94					I-Fb		
ab04899	I-F	94					I-Fb		
ab04900		2						P1virus	P1virus(incomplete)
ab04901		2						P1virus	
ab04902		2						P1virus	P1virus(incomplete)
ab04903		2						P1virus	
ab04904		2						P1virus	
ab04905		1426							
ab04906		1140						P1virus	P1virus(incomplete)
ab04907		2						P1virus	
ab04908		1545		arrays		ambiguous		P1virus	
ab04909		1545		arrays		ambiguous		P1virus	
ab04910		149							
ab04911		149							
ab04912		-							
ab04913		10							
ab04914		437							
ab04915	I-F	1549					I-Fa		
ab04916	I-F	1549					I-Fa		
ab04917		267							
ab04918		2						P1virus	P1virus(incomplete)
ab04919		10							
ab04920		2						P1virus	
ab04921	I-F	1					I-Fb		
ab04922	I-F	1					I-Fb		
ab04923	I-F	81					I-Fb	P1virus	
ab04924		492							
ab04925	I-F	79					I-Fa		
ab04926		-							
ab04927		-						P1virus	P1virus(incomplete)
ab04928		406							
ab04929	I-F,I-F	-					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab04930	I-F	79	incomplete				I-Fa		
ab04931		-							
ab04932	I-F	79	incomplete				I-Fa		
ab04933	I-F	79	incomplete				I-Fa	P1virus	P1virus(incomplete)
ab04934	I-F	-					I-Fa		
ab04935		2						P1virus	P1virus(incomplete)
ab04936	I-F	-	incomplete				I-Fa		
ab04937	I-F	79	incomplete				I-Fa		
ab04938	I-F,I-F	498					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab04939	I-F	-	incomplete				I-Fa		
ab04940	I-F	79	incomplete				I-Fa		
ab04941	I-F	-					I-Fa		
ab04942	I-F	-	incomplete				I-Fa		
ab04943	I-F	79	incomplete				I-Fa		
ab04944	I-F	-	incomplete				I-Fa		
ab04945		49			anycas	ambiguous		P1virus	P1virus(incomplete)
ab04946		-						P1virus	P1virus(incomplete)
ab04947		2						P1virus	P1virus(incomplete)
ab04948		406							
ab04949		-							
ab04950		-						P1virus	P1virus(incomplete)
ab04951		-						P1virus	P1virus(incomplete)
ab04952	I-F	79	incomplete				I-Fa		
ab04953	I-F	79					I-Fa		
ab04954	I-F	79	incomplete				I-Fa		
ab04955	I-F	79	incomplete				I-Fa		
ab04956	I-F	79	incomplete				I-Fa		
ab04957	I-F	-	incomplete				I-Fa		
ab04958		103						P1virus	P1virus(incomplete)
ab04959		-						P1virus	P1virus(incomplete)
ab04960		499							
ab04961		499							
ab04962		-						P1virus	P1virus(incomplete)
ab04963	I-F	79	incomplete				I-Fa		
ab04964		499							
ab04965		2						P1virus	P1virus(incomplete)
ab04966		-							
ab04967		2						P1virus	P1virus(incomplete)
ab04968		-						P1virus	P1virus(incomplete)
ab04969		-						P1virus	P1virus(incomplete)
ab04970		-						P1virus	P1virus(incomplete)
ab04971	I-F	-	incomplete				I-Fa		
ab04972		406							
ab04973		-						P1virus	P1virus(incomplete)
ab04974		-							
ab04975	I-F	79					I-Fa		
ab04976	I-F	-					I-Fb		
ab04977		-							
ab04978		406							
ab04979		-		arrays	anycas	ambiguous			
ab04980		-			anycas	ambiguous			
ab04981	I-F	-	incomplete				I-Fa		
ab04982		2						P1virus	P1virus(incomplete)
ab04983		2						P1virus	P1virus(incomplete)
ab04984		1337							
ab04985		499							
ab04986		499							
ab04987		-							
ab04988		2						P1virus	P1virus(incomplete)
ab04989		406							
ab04990		-							
ab04991		2						P1virus	P1virus(incomplete)
ab04992		499							
ab04993	I-F	-	incomplete				I-Fa		
ab04994	I-F	-	incomplete				I-Fa		
ab04995	I-F	-	incomplete				I-Fa		
ab04996	I-F	-	incomplete				I-Fa		
ab04997	I-F	-	incomplete				I-Fa		
ab04998	I-F	-	incomplete				I-Fa		
ab04999		-						P1virus	P1virus(incomplete)
ab05000	I-F	-					I-Fb		
ab05001		-							
ab05002		-							
ab05003		406							
ab05004		-							
ab05005		-							
ab05006		406							
ab05007		250							
ab05008	I-F	-	incomplete				I-Fa		
ab05009	I-F	-					I-Fa		
ab05010	I-F	-					I-Fa		
ab05011	I-F	-	incomplete				I-Fa		
ab05012	I-F	79	incomplete				I-Fa		
ab05013	I-F	-	incomplete				I-Fa		
ab05014	I-F	-					I-Fa		
ab05015	I-F	-	incomplete				I-Fa		
ab05016	I-F	-	incomplete				I-Fa		
ab05017		2							
ab05018		2							
ab05019		85							
ab05020		85							
ab05021		406							
ab05022	I-F	79	incomplete				I-Fa		
ab05023	I-F	372					I-Fb		
ab05024		-							
ab05025		6							
ab05026	I-F	-	incomplete				I-Fa	P1virus	P1virus(incomplete)
ab05027		-							
ab05028	I-F	25					I-Fb		
ab05029		-							
ab05030		-							
ab05031	I-F	79	incomplete				I-Fa		
ab05032		78						P1virus	P1virus(incomplete)
ab05033		1022							
ab05034		1022							
ab05035	I-F	497					I-Fb		
ab05036		2						P1virus	
ab05037		406							
ab05038		32							
ab05039		78						P1virus	P1virus(incomplete)
ab05040		-							
ab05041	I-F	-	incomplete				I-Fa		
ab05042	I-F	79	incomplete				I-Fa		
ab05043	I-F	79					I-Fa		
ab05044		-							
ab05045	I-F	-	incomplete				I-Fa		
ab05046		2						P1virus	
ab05047	I-F	-	incomplete				I-Fa		
ab05048		406						P1virus	P1virus(incomplete)
ab05049		-							
ab05050		-		arrays		ambiguous			
ab05051		2						P1virus	P1virus(incomplete)
ab05052	I-F	79	incomplete				I-Fa		
ab05053		-							
ab05054		79		arrays	anycas	ambiguous			
ab05055	I-F	79					I-Fa		
ab05056	I-F	-	incomplete				I-Fb		
ab05057	I-F	79	incomplete				I-Fa		
ab05058		2						P1virus	P1virus(incomplete)
ab05059	I-F	79	incomplete				I-Fa		
ab05060		10						P1virus	
ab05061		10						P1virus	
ab05062		10						P1virus	
ab05063		10						P1virus	
ab05064		10						P1virus	P1virus(incomplete)
ab05065		10						P1virus	
ab05066		10						P1virus	
ab05067		10						P1virus	P1virus(incomplete)
ab05068		10						P1virus	P1virus(incomplete)
ab05069		10						P1virus	P1virus(incomplete)
ab05070		10						P1virus	P1virus(incomplete)
ab05071		10						P1virus	P1virus(incomplete)
ab05072		2						P1virus	
ab05073	I-F	94					I-Fb		
ab05074	I-F	94					I-Fb		
ab05075	I-F	94					I-Fb		
ab05076	I-F	94					I-Fb		
ab05077	I-F	94					I-Fb		
ab05078		742							
ab05079	I-F	126					I-Fb		
ab05080		16							
ab05081		16							
ab05082		15							
ab05083	I-F	1					I-Fb		
ab05084	I-F	1					I-Fb		
ab05085	I-F	1					I-Fb		
ab05086	I-F	1					I-Fb		
ab05087	I-F	1					I-Fb		
ab05088	I-F	1					I-Fb		
ab05089	I-F	1					I-Fb		
ab05090	I-F	1					I-Fb		
ab05091	I-F	1					I-Fb		
ab05092	I-F	1					I-Fb		
ab05093	I-F	1					I-Fb		
ab05094	I-F	-					I-Fb		
ab05095	I-F	1					I-Fb		
ab05096	I-F	1					I-Fb		
ab05097	I-F	1					I-Fb		
ab05098	I-F	1					I-Fb		
ab05099	I-F	1					I-Fb		
ab05100	I-F	1					I-Fb		
ab05101	I-F	1					I-Fb		
ab05102	I-F	1					I-Fb		
ab05103		2						P1virus	
ab05104		54							
ab05105	I-F	126					I-Fb		
ab05106		2						P1virus	P1virus(incomplete)
ab05107	I-F	79	incomplete				I-Fa		
ab05108		2						P1virus	
ab05109		2						P1virus	
ab05110	I-F	79	incomplete				I-Fa		
ab05111	I-F	79					I-Fa		
ab05112		2						P1virus	
ab05113		2						P1virus	
ab05114		2						P1virus	
ab05115		2						P1virus	
ab05116		2						P1virus	
ab05117		2						P1virus	
ab05118		2							
ab05119		2							
ab05120		187							
ab05121		745							
ab05122		2							
ab05123		-							
ab05124		2							
ab05125		187							
ab05126		187							
ab05127		187							
ab05128		745							
ab05129		187							
ab05130		187							
ab05131		2						P1virus	
ab05132	I-F	126					I-Fb		
ab05133	I-F	1					I-Fb		
ab05134		2							
ab05135		2						P1virus	
ab05136		215						P1virus	
ab05137		2						P1virus	P1virus(incomplete)
ab05138		2							
ab05139		23						P1virus	P1virus(incomplete)
ab05140		437							
ab05141		437							
ab05142	I-F	25					I-Fb		
ab05143	I-F	20					I-Fb		
ab05144		3							
ab05145		48							
ab05146		2							
ab05147	I-F	25					I-Fb		
ab05148	I-F	25					I-Fb		
ab05149	I-F	717					I-Fb		
ab05150		2							
ab05151		2							
ab05152		2							
ab05153		3							
ab05154		2						P1virus	P1virus(incomplete)
ab05155	I-F	1					I-Fb		
ab05156	I-F	1					I-Fb		
ab05157		2							
ab05158		2							
ab05159		2						P1virus	P1virus(incomplete)
ab05160		2						P1virus	P1virus(incomplete)
ab05161		2						P1virus	P1virus(incomplete)
ab05162		2						P1virus	P1virus(incomplete)
ab05163	I-F	1					I-Fb		
ab05164	I-F	1					I-Fb		
ab05165	I-F	1					I-Fb		
ab05166		2						P1virus	P1virus(incomplete)
ab05167		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05168		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05169		2						P1virus	
ab05170		2						P1virus	
ab05171		2						P1virus	
ab05172		2						P1virus	
ab05173		2						P1virus	P1virus(incomplete)
ab05174	I-F	422					I-Fa		
ab05175		604						P1virus	P1virus(incomplete)
ab05176		2						P1virus	
ab05177		1035							
ab05178		107							
ab05179		317							
ab05180		317							
ab05181		79							
ab05182		79							
ab05183		79							
ab05184		79							
ab05185		79							
ab05186		107							
ab05187		79							
ab05188		79							
ab05189		79							
ab05190		79							
ab05191		317							
ab05192	I-F	1					I-Fb		
ab05193		2						P1virus	P1virus(incomplete)
ab05194		2						P1virus	P1virus(incomplete)
ab05195		2							
ab05196		2							
ab05197		2						P1virus	
ab05198		2						P1virus	
ab05199		2						P1virus	P1virus(incomplete)
ab05200		2							
ab05201		1088							
ab05202		2							
ab05203		2							
ab05204		2							
ab05205		406							
ab05206		2						P1virus	
ab05207		250							
ab05208		2							
ab05209		2							
ab05210		2							
ab05211		2						P1virus	
ab05212		2							
ab05213		2						P1virus	
ab05214		2							
ab05215		2							
ab05216		2						P1virus	
ab05217		499							
ab05218		2							
ab05219		2							
ab05220		2						P1virus	
ab05221		2						P1virus	
ab05222		2							
ab05223		406							
ab05224		632							
ab05225		2						P1virus	P1virus(incomplete)
ab05226		2							
ab05227		2							
ab05228		2							
ab05229		2							
ab05230		2							
ab05231		2							
ab05232		2							
ab05233		2							
ab05234		2							
ab05235		2							
ab05236		2							
ab05237		2						P1virus	
ab05238		250							
ab05239		2							
ab05240		2							
ab05241		2							
ab05242		2							
ab05243		2							
ab05244		2						P1virus	P1virus(incomplete)
ab05245		1088							
ab05246		2							
ab05247		2							
ab05248		632							
ab05249		2							
ab05250		2							
ab05251		2						P1virus	
ab05252		2							
ab05253		2							
ab05254		2							
ab05255		2							
ab05256		2							
ab05257		2							
ab05258		2							
ab05259		2							
ab05260		2							
ab05261		2						P1virus	
ab05262		2						P1virus	P1virus(incomplete)
ab05263		2							
ab05264		2							
ab05265		2							
ab05266		2							
ab05267		2							
ab05268		2							
ab05269		2							
ab05270		2							
ab05271		2							
ab05272		2							
ab05273		2							
ab05274		2							
ab05275		2							
ab05276		2							
ab05277		2							
ab05278		2							
ab05279		2							
ab05280		499							
ab05281		2							
ab05282		2							
ab05283		2							
ab05284		2							
ab05285		2							
ab05286		2							
ab05287		2							
ab05288		2						P1virus	P1virus(incomplete)
ab05289		2						P1virus	P1virus(incomplete)
ab05290		2							
ab05291		2							
ab05292		2							
ab05293		2							
ab05294		2							
ab05295		2							
ab05296		2						P1virus	P1virus(incomplete)
ab05297		2							
ab05298		2							
ab05299		2							
ab05300		2							
ab05301		2							
ab05302		2							
ab05303		2						P1virus	
ab05304		2							
ab05305		2							
ab05306		2							
ab05307		2							
ab05308		2							
ab05309		2							
ab05310		2						P1virus	
ab05311		2							
ab05312		2						P1virus	
ab05313		2							
ab05314		2							
ab05315		2							
ab05316		2							
ab05317		2							
ab05318		2							
ab05319		2							
ab05320		2							
ab05321		2						P1virus	
ab05322		2						P1virus	
ab05323		2							
ab05324		2							
ab05325		2							
ab05326		2							
ab05327		2							
ab05328		2							
ab05329		2							
ab05330		2							
ab05331		2							
ab05332		2							
ab05333		2							
ab05334		2							
ab05335		-							
ab05336		2							
ab05337		2							
ab05338		2							
ab05339		2							
ab05340		2							
ab05341		2							
ab05342		2							
ab05343		250							
ab05344		2							
ab05345		2							
ab05346		2							
ab05347		2							
ab05348		2							
ab05349		2							
ab05350		2							
ab05351		2							
ab05352		2							
ab05353		2							
ab05354		2							
ab05355		2							
ab05356		2							
ab05357		2							
ab05358		2							
ab05359		632							
ab05360		2							
ab05361		2							
ab05362		2							
ab05363		2							
ab05364		2							
ab05365		2							
ab05366		2							
ab05367		2							
ab05368		2							
ab05369		2						P1virus	
ab05370		1079							
ab05371		2							
ab05372		2							
ab05373		2							
ab05374		2							
ab05375		2							
ab05376		2							
ab05377		2							
ab05378		2							
ab05379		2							
ab05380		2							
ab05381		2							
ab05382		111						P1virus	P1virus(incomplete)
ab05383		2						P1virus	P1virus(incomplete)
ab05384		2						P1virus	P1virus(incomplete)
ab05385		2						P1virus	P1virus(incomplete)
ab05386		2						P1virus	P1virus(incomplete)
ab05387		2						P1virus	P1virus(incomplete)
ab05388		2						P1virus	
ab05389		2						P1virus	P1virus(incomplete)
ab05390		2						P1virus	P1virus(incomplete)
ab05391		2						P1virus	
ab05392		2						P1virus	P1virus(incomplete)
ab05393		2						P1virus	
ab05394		2						P1virus	
ab05395		2						P1virus	
ab05396		2						P1virus	
ab05397		2						P1virus	
ab05398		2						P1virus	
ab05399		2						P1virus	
ab05400		388						P1virus	P1virus(incomplete)
ab05401		943							
ab05402		23							
ab05403		821							
ab05404		821							
ab05405		512							
ab05406		309							
ab05407		80							
ab05408		2		arrays		ambiguous		P1virus	P1virus(incomplete)
ab05409	I-F	79					I-Fa		
ab05410		10							
ab05411		2						P1virus	P1virus(incomplete)
ab05412	I-F	1					I-Fb		
ab05413		10							
ab05414		2							
ab05415		2							
ab05416		437							
ab05417		437							
ab05418		437							
ab05419		437							
ab05420		437							
ab05421		437							
ab05422		437							
ab05423		437							
ab05424		1546							
ab05425		107							
ab05426		32						P1virus	P1virus(incomplete)
ab05427		15							
ab05428		107						P1virus	P1virus(incomplete)
ab05429		79							
ab05430		107							
ab05431		2						P1virus	
ab05432		2						P1virus	
ab05433		2						P1virus	
ab05434		2						P1virus	
ab05435		2						P1virus	
ab05436		2						P1virus	
ab05437		2						P1virus	
ab05438		2						P1virus	
ab05439		2						P1virus	
ab05440		-						P1virus	
ab05441		-						P1virus	P1virus(incomplete)
ab05442		2						P1virus	P1virus(incomplete)
ab05443		2						P1virus	
ab05444		2						P1virus	
ab05445		2						P1virus	P1virus(incomplete)
ab05446		2						P1virus	P1virus(incomplete)
ab05447		2						P1virus	
ab05448		2						P1virus	P1virus(incomplete)
ab05449		2						P1virus	P1virus(incomplete)
ab05450		2						P1virus	P1virus(incomplete)
ab05451		2						P1virus	
ab05452		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05453		2						P1virus	P1virus(incomplete)
ab05454		2						P1virus	
ab05455		2						P1virus	P1virus(incomplete)
ab05456		2						P1virus	
ab05457		2						P1virus	P1virus(incomplete)
ab05458		2						P1virus	
ab05459		2						P1virus	P1virus(incomplete)
ab05460		10							
ab05461		10							
ab05462		2						P1virus	P1virus(incomplete)
ab05463		2						P1virus	
ab05464		-						P1virus	P1virus(incomplete)
ab05465		2						P1virus	
ab05466		2							
ab05467		2						P1virus	P1virus(incomplete)
ab05468		2						P1virus	P1virus(incomplete)
ab05469		2						P1virus	P1virus(incomplete)
ab05470		-						P1virus	P1virus(incomplete)
ab05471		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05472		2						P1virus	
ab05473		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05474		2						P1virus	
ab05475		2						P1virus	P1virus(incomplete)
ab05476		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05477		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05478		46						P1virus	P1virus(incomplete)
ab05479		2						P1virus	
ab05480		2						P1virus	
ab05481		880							
ab05482		2						P1virus	P1virus(incomplete)
ab05483		2						P1virus	
ab05484		2						P1virus	
ab05485		2						P1virus	P1virus(incomplete)
ab05486		2						P1virus	
ab05487		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05488		2						P1virus	P1virus(incomplete)
ab05489		2						P1virus	
ab05490		2						P1virus	
ab05491		2						P1virus	
ab05492		2						P1virus	P1virus(incomplete)
ab05493		2						P1virus	
ab05494	I-F,I-F	338					I-Fa,I-Fb		
ab05495		2						P1virus	P1virus(incomplete)
ab05496		2						P1virus	P1virus(incomplete)
ab05497		23						P1virus	P1virus(incomplete)
ab05498		-			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05499		2						P1virus	P1virus(incomplete)
ab05500		2						P1virus	
ab05501		2						P1virus	
ab05502		2						P1virus	
ab05503		2						P1virus	
ab05504		2						P1virus	
ab05505		2						P1virus	
ab05506		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05507		2						P1virus	
ab05508		2			anycas	ambiguous		P1virus	P1virus(incomplete)
ab05509		2							
ab05510		2						P1virus	P1virus(incomplete)
ab05511		2						P1virus	
ab05512		2						P1virus	P1virus(incomplete)
ab05513		2						P1virus	P1virus(incomplete)
ab05514		2						P1virus	
ab05515		2						P1virus	
ab05516		2						P1virus	
ab05517		2						P1virus	P1virus(incomplete)
ab05518		-						P1virus	P1virus(incomplete)
ab05519		2						P1virus	P1virus(incomplete)
ab05520		2						P1virus	P1virus(incomplete)
ab05521		2						P1virus	P1virus(incomplete)
ab05522		2						P1virus	P1virus(incomplete)
ab05523		2						P1virus	P1virus(incomplete)
ab05524		2						P1virus	P1virus(incomplete)
ab05525		46						P1virus	P1virus(incomplete)
ab05526		2						P1virus	
ab05527		2						P1virus	P1virus(incomplete)
ab05528		2						P1virus	
ab05529		46						P1virus	P1virus(incomplete)
ab05530		2						P1virus	
ab05531		2						P1virus	P1virus(incomplete)
ab05532		2						P1virus	
